InvoiceId,CustomerId,InvoiceDate,BillingAddress,BillingCity,BillingState,BillingCountry,BillingPostalCode,Total
328,15,"2012/12/15","700 W Pender Street","Vancouver","BC","Canada","V6C 1G8",0.99
329,16,"2012/12/28","1600 Amphitheatre Parkway","Mountain View","CA","USA","94043-1351",1.98
330,18,"2012/12/28","627 Broadway","New York","NY","USA","10012-2612",1.98
331,20,"2012/12/29","541 Del Medio Avenue","Mountain View","CA","USA","94040-111",3.96
332,24,"2012/12/30","162 E Superior Street","Chicago","IL","USA","60611",5.94
333,30,"2013/1/2","230 Elgin Street","Ottawa","ON","Canada","K2P 1L7",8.91
339,3,"2013/1/30","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7",5.94
34,12,"2009/5/23","Praça Pio X; 119","Rio de Janeiro","RJ","Brazil","20040-020",0.99
341,18,"2013/2/7","627 Broadway","New York","NY","USA","10012-2612",13.86
342,32,"2013/2/15","696 Osborne Street","Winnipeg","MB","Canada","R3L 2B9",0.99
343,33,"2013/2/28","5112 48 Street","Yellowknife","NT","Canada","X1A 1N6",1.98
347,47,"2013/3/5","Via Degli Scipioni; 43","Rome","RM","Italy","00192",8.91
349,11,"2013/3/18","Av. Paulista; 2022","São Paulo","SP","Brazil","01310-200",0.99
35,13,"2009/6/5","Qe 7 Bloco G","Brasília","DF","Brazil","71020-677",1.98
350,12,"2013/3/31","Praça Pio X; 119","Rio de Janeiro","RJ","Brazil","20040-020",1.98
351,14,"2013/3/31","8210 111 ST NW","Edmonton","AB","Canada","T6G 2C7",1.98
352,16,"2013/4/1","1600 Amphitheatre Parkway","Mountain View","CA","USA","94043-1351",3.96
353,20,"2013/4/2","541 Del Medio Avenue","Mountain View","CA","USA","94040-111",5.94
354,26,"2013/4/5","2211 W Berry Street","Fort Worth","TX","USA","76110",8.91
36,15,"2009/6/5","700 W Pender Street","Vancouver","BC","Canada","V6C 1G8",1.98
362,14,"2013/5/11","8210 111 ST NW","Edmonton","AB","Canada","T6G 2C7",13.86
363,28,"2013/5/19","302 S 700 E","Salt Lake City","UT","USA","84102",0.99
364,29,"2013/6/1","796 Dundas Street West","Toronto","ON","Canada","M6J 1V1",1.98
365,31,"2013/6/1","194A Chain Lake Drive","Halifax","NS","Canada","B3S 1C5",1.98
366,33,"2013/6/2","5112 48 Street","Yellowknife","NT","Canada","X1A 1N6",3.96
37,17,"2009/6/6","1 Microsoft Way","Redmond","WA","USA","98052-8300",3.96
372,10,"2013/7/2","Rua Dr. Falcão Filho; 155","São Paulo","SP","Brazil","01007-010",1.98
373,12,"2013/7/3","Praça Pio X; 119","Rio de Janeiro","RJ","Brazil","20040-020",3.96
374,16,"2013/7/4","1600 Amphitheatre Parkway","Mountain View","CA","USA","94043-1351",5.94
375,22,"2013/7/7","120 S Orange Ave","Orlando","FL","USA","32801",8.91
376,31,"2013/7/12","194A Chain Lake Drive","Halifax","NS","Canada","B3S 1C5",13.86
379,48,"2013/8/2","Lijnbaansgracht 120bg","Amsterdam","VV","Netherlands","1016",1.98
38,21,"2009/6/7","801 W 4th Street","Reno","NV","USA","89503",5.94
382,1,"2013/8/7","Av. Brigadeiro Faria Lima; 2170","São José dos Campos","SP","Brazil","12227-000",8.91
383,10,"2013/8/12","Rua Dr. Falcão Filho; 155","São Paulo","SP","Brazil","01007-010",13.86
384,24,"2013/8/20","162 E Superior Street","Chicago","IL","USA","60611",0.99
385,25,"2013/9/2","319 N. Frances Street","Madison","WI","USA","53703",1.98
386,27,"2013/9/2","1033 N Park Ave","Tucson","AZ","USA","85719",1.98
387,29,"2013/9/3","796 Dundas Street West","Toronto","ON","Canada","M6J 1V1",3.96
388,33,"2013/9/4","5112 48 Street","Yellowknife","NT","Canada","X1A 1N6",5.94
39,27,"2009/6/10","1033 N Park Ave","Tucson","AZ","USA","85719",8.91
390,48,"2013/9/12","Lijnbaansgracht 120bg","Amsterdam","VV","Netherlands","1016",13.86
391,3,"2013/9/20","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7",0.99
395,12,"2013/10/5","Praça Pio X; 119","Rio de Janeiro","RJ","Brazil","20040-020",5.94
396,18,"2013/10/8","627 Broadway","New York","NY","USA","10012-2612",8.91
397,27,"2013/10/13","1033 N Park Ave","Tucson","AZ","USA","85719",13.86
4,14,"2009/1/6","8210 111 ST NW","Edmonton","AB","Canada","T6G 2C7",8.91
405,20,"2013/11/21","541 Del Medio Avenue","Mountain View","CA","USA","94040-111",0.99
406,21,"2013/12/4","801 W 4th Street","Reno","NV","USA","89503",1.98
407,23,"2013/12/4","69 Salem Street","Boston","MA","USA","2113",1.98
408,25,"2013/12/5","319 N. Frances Street","Madison","WI","USA","53703",3.96
409,29,"2013/12/6","796 Dundas Street West","Toronto","ON","Canada","M6J 1V1",5.94
44,55,"2009/7/7","421 Bourke Street","Sidney","NSW","Australia","2010",3.96
47,15,"2009/7/16","700 W Pender Street","Vancouver","BC","Canada","V6C 1G8",13.86
48,29,"2009/7/24","796 Dundas Street West","Toronto","ON","Canada","M6J 1V1",0.99
49,30,"2009/8/6","230 Elgin Street","Ottawa","ON","Canada","K2P 1L7",1.98
5,23,"2009/1/11","69 Salem Street","Boston","MA","USA","2113",13.86
50,32,"2009/8/6","696 Osborne Street","Winnipeg","MB","Canada","R3L 2B9",1.98
57,11,"2009/9/6","Av. Paulista; 2022","São Paulo","SP","Brazil","01310-200",1.98
58,13,"2009/9/7","Qe 7 Bloco G","Brasília","DF","Brazil","71020-677",3.96
59,17,"2009/9/8","1 Microsoft Way","Redmond","WA","USA","98052-8300",5.94
60,23,"2009/9/11","69 Salem Street","Boston","MA","USA","2113",8.91
61,32,"2009/9/16","696 Osborne Street","Winnipeg","MB","Canada","R3L 2B9",13.86
63,47,"2009/10/7","Via Degli Scipioni; 43","Rome","RM","Italy","00192",1.98
66,55,"2009/10/9","421 Bourke Street","Sidney","NSW","Australia","2010",5.94
68,11,"2009/10/17","Av. Paulista; 2022","São Paulo","SP","Brazil","01310-200",13.86
69,25,"2009/10/25","319 N. Frances Street","Madison","WI","USA","53703",0.99
70,26,"2009/11/7","2211 W Berry Street","Fort Worth","TX","USA","76110",1.98
71,28,"2009/11/7","302 S 700 E","Salt Lake City","UT","USA","84102",1.98
72,30,"2009/11/8","230 Elgin Street","Ottawa","ON","Canada","K2P 1L7",3.96
80,13,"2009/12/10","Qe 7 Bloco G","Brasília","DF","Brazil","71020-677",5.94
81,19,"2009/12/13","1 Infinite Loop","Cupertino","CA","USA","95014",8.91
82,28,"2009/12/18","302 S 700 E","Salt Lake City","UT","USA","84102",13.86
86,47,"2010/1/9","Via Degli Scipioni; 43","Rome","RM","Italy","00192",3.96
90,21,"2010/1/26","801 W 4th Street","Reno","NV","USA","89503",0.99
91,22,"2010/2/8","120 S Orange Ave","Orlando","FL","USA","32801",1.98
92,24,"2010/2/8","162 E Superior Street","Chicago","IL","USA","60611",1.98
93,26,"2010/2/9","2211 W Berry Street","Fort Worth","TX","USA","76110",3.96
94,30,"2010/2/10","230 Elgin Street","Ottawa","ON","Canada","K2P 1L7",5.94
98,1,"2010/3/11","Av. Brigadeiro Faria Lima; 2170","São José dos Campos","SP","Brazil","12227-000",3.98
99,3,"2010/3/11","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7",3.98
10,46,"2009/2/3","3 Chatham Street","Dublin","Dublin","Ireland","",5.94
183,46,"2011/3/18","3 Chatham Street","Dublin","Dublin","Ireland","",1.98
194,46,"2011/4/28","3 Chatham Street","Dublin","Dublin","Ireland","",21.86
249,46,"2011/12/27","3 Chatham Street","Dublin","Dublin","Ireland","",8.91
378,46,"2013/8/2","3 Chatham Street","Dublin","Dublin","Ireland","",1.98
401,46,"2013/11/4","3 Chatham Street","Dublin","Dublin","Ireland","",3.96
62,46,"2009/9/24","3 Chatham Street","Dublin","Dublin","Ireland","",0.99
